propertyID,address,city,postalCode,roomCnt,bathCnt,category,description,sqFt,price,imgPath,,,,
25,09464 Dennis Court,North Vancouver,R0G 8D9,2,1,Condos,"Spacious light-filled corner PENTHOUSE. This 2 bedroom & bath w/ 9 ft ceilings has a large wrap deck w/ good Mtn view! Completely renovated top to bottom! New open kitchen w/ shaker cabs, St/Steel appl, quartz counters, soft close drawers & cabs, etc. Dining Room for 8 & new tile/mantled gas f/place in living rm. New lighting, crown mouldings & hardwd flrs thru out. All new closet drs & all w/ custom built-ins. Gorgeous spa bathroom w/ rainshower/soaker tub & heated flrs. Master holds King bed & 2nd bedroom can too. Tons of storage & new laundry! Add 1 prkg, a lckr & pets OK in a well maintained bldg w/ dep report that is on a quiet treed street, 1 blk to trendy W 4th or 5 min walk to the beach!! You won't be disappointed! 1st showing Sunday 17th OPEN 2-4pm.",1630,835070,25.jpg,,,,
26,232 Warner Circle,Langley,R9I 6P4,3,1,Condos,"Waterfront living at it's best at the Crestmark I building in Yaletown. Nearly 1100 sq ft of open living space with beautiful SE views of False Creek Marina. The chef's kitchen offers new stainless steel appliances, granite countertops, shaker cabinets, a large pantry & opens to the spacious living & dining room featuring beautiful walnut floors. There are 2 large bedrooms, ample closet space & 2 full baths. The building is fully serviced with a concierge, indoor pool, hot tub, steam room, sauna and gym not to mention that the Crestmark is in the most premier location in Yaletown, with the Seawall and Marina only steps away, minutes to Urban Fare & the RAV line & blocks to an endless choice of restaurants, cafes & shopping.",1836,1727340,26.jpg,,,,
27,189 Claremont Road,North Vancouver,R5O 4Y8,1,4,House,Beautiful Laneway house (Infill) property with it's own PID/legal. Appliances included. $0 Strata fee. 2 bedrooms 2.5 baths. All sizes and ages are approx. only. The Buyer should not rely upon the listing information without the Buyer independently verifying the information. Open house Sat & Sun 2-4pm.,898,954964,27.jpg,,,,
28,28100 Fremont Point,Burnaby,L6V 1N9,4,3,House,"Half Duplex has 3 bedrooms above and 1 in the basement along with a media room and wet bar. 1 covered parking space. Quiet street with mountain view. Close to park, school and all amenities. Appliances included. All sizes and ages are approx. only. The Buyer should not rely upon the listing information without the Buyer independently verifying the information. Open House Sat & Sun 2-4pm",683,2683234,28.jpg,,,,
29,957 Bashford Crossing,Surrey,L2C 4M0,1,1,Duplex,"Beautifully updated 1 bedroom + den + balcony with exciting city and False Creek views at the MAX I in popular Yaletown. Floor to ceiling windows fill the suite with natural light and enhance the spaciousness of this fantastic open floor plan. Features kitchen and bath quartz counters, new paint and flooring, plus clever storage solutions throughout. World class amenities including 65’ pool, steam/sauna, hot tub, exercise centre, theatre, social lounge, meeting room & garden courtyard. When Yaletown is your neighbourhood, you’ll enjoy the trendiest of Vancouver’s dining, boutique shopping, entertainment and recreation. Short walk to Skytrain, Seawall and Robson Street. Excellent Revenue property opportunity. Sneak peek Thrs Jul 14, 6-7PM. Open Sat/Sun Jul 16/17, 2-4PM.",2221,2172844,29.jpg,,,,
30,30 6th Alley,Richmond,S5W 1B4,2,3,Townhouse,"THE MAX – the ultimate urban lifestyle in a fantastic, well managed strata. Very functional and open floorplan includes 1 bedroom w/ample closet space, 1 bathroom & den – the perfect office or storage space. Enjoy being a higher floor w/views of the city and marina from living room, master bedroom & balcony. Gas cooktop, engineered maple hardwood flooring, LG & Whirlpool appliances, large windows for added light. Excellent amenities: gym, indoor pool, sauna/steam rooms. Prime Yaletown location, just steps to seawall, shops, restaurants, parks, Canada Line & Aquabus. Investors: Turnkey investment property that will benefit from new developments in & around BC Place. Open house Wed July 13th 530-7pm & Sat/Sun, July 16th/17th 2-4pm.",2147,3589978,30.jpg,,,,
31,8 Fordem Trail,Burnaby,R7A 0L2,1,4,Condos,"You will want to live here! This large and PERFECTLY LAID OUT 2 bedroom 2 bathroom condo has it all. Fabulous CONCRETE CONSTRUCTION - Tenali on Tenth is ideally located in the heart of Kitsilano, adjacent to popular Arbutus Walk. This super bright, modern, and stylish condo boasts a spacious OPEN FLOOR PLAN, gorgeous engineered maple hardwood floors, plenty of light, ample in-suite storage (or den), walk-in closet, and bedrooms on opposite sides of the unit for maximum privacy! Live the Kitsilano lifestyle and walk to transit, shopping, coffee, restaurants, yoga, and even the beach!",1267,3131782,31.jpg,,,,
32,8049 Iowa Way,Vancouver,L2K 2J6,2,3,House,"Spectacular VIEWS to English Bay and Granville Island from this spacious, 2 bedroom and 2 bath, air-conditioned home in the prestigious POMARIA. This coveted, SW corner suite offers a true sense of space with its open-plan layout, balcony, floor to ceiling windows and completely separated bedrooms. Designer touches abound, including sleek white glass feature walls, elegant white linen drapery, electric blinds and custom built-ins. Set in a fabulous location just steps from the Seawall, Aquabus and the exciting new Vancouver House development, soon to be a shopping, art and entertainment hub for the area. This gorgeous no-compromise home will not disappoint! 2 side/side parking on P1, locker, pets welcome, rentals ok (6 mo. min). Open Sat&Sun July 16 & 17, 2-4PM or call for an appointment.",1347,384369,32.jpg,,,,
33,8113 Hanover Alley,Surrey,R3V 7M4,4,3,Apartment,"WELCOME to this completely renovated 2-level 1,155 Sq. Ft. finished and 170 Sq. Ft. exposed concrete townhome in Yaletown Ltd! This 2 bedroom 2 bathroom home has been extensively renovated with an urban feel. From engineered hardwood floors throughout, glass tile backsplashes, quartz countertops, chef-worthy appliances, large patio and floor-to-ceiling windows - this home has a bright and airy open concept feel right in the heart of Yaletown. Private two-car garage accessible right from your home with extra storage, and a building with amenities that include: pool/sauna/steam room, fitness center, squash, 24/7 concierge and more. This home won't last long. Call today! OPEN HOUSE SAT JULY 16 & SUN JULY 17 2:00PM - 4:00PM.",1175,478008,33.jpg,,,,
34,22 Anzinger Terrace,Surrey,R3B 4R6,4,3,Condos,"Kitsilano 3 bedroom character home with legal revenue suite to help reduce those mortgage payments by $1500/month. Tastefully updated - kitchen, bathrooms, flooring, etc. Newer appliances. Cozy front porch facing tree lined street, large deck off kitchen leading out to private backyard with mountain views. Walking distance to all levels of schools, parks, shopping and bus transportation. Just minutes to UBC and downtown.",956,1908398,34.jpg,,,,
35,86743 Ronald Regan Center,New Westminister,R0N 2F3,2,4,Apartment,"Tasteful & versatile, 4 bdrm & den, 3 level ½ duplex w/terrific outdoor living in prime Kitsilano locale! Main boasts spacious living & dining rms w/oak flrs, vaulted ceilings w/skylight, gas f/p + access to your sunny, west-facing balcony. Delightful kitchen features granite counters, breakfast bar & s/s appl’s. Main also has large bdrm w/north-facing balcony, 4 pc bath, open den w/built-in bookshelves & access to top level. Exclusive master bdrm up offers vaulted ceilings w/skylight, privacy windows overlooking your living space & 3 pc ensuite. Lower level: self-contained suite w/2 bdrms, inste laundry, gas f/p & sep entry to a west-facing patio & sundeck. Easily revertible for main level access. Convenient location, close to great schools & all amenities along Arbutus St & W Broadway.",1875,2863310,35.jpg,,,,
36,03 Manitowish Place,Langley,R8W 6X2,1,2,Townhouse,"Conveniently located between Main and Fraser this home features 6 bedrooms and 3 baths. It's located in a quiet and central location with a VIEW of the MOUNTAINS! It's got BRAND NEW KITCHEN upstairs and downstairs with quartz countertops and stainless steal appliances. Includes double glazed windows and hardwood flooring. New furnace and hot water tank in 2012 too! Very close to transit, parks, shopping, restaurants and the Queen Elizabeth Park Golf Course. School catchment area is General Brock Elementary and John Oliver Secondary. Enjoy this Vancouver special, bikers paradise and convenient lifestyle! Call today to see this home for yourself!",657,2692895,36.jpg,,,,
37,973 Petterle Pass,Langley,R2B 3I2,4,4,Townhouse,"This almost BRAND NEW residence located just steps to Memorial South Park & mins to shopping, restaurants, schools & transit. This spacious 3 level 1933 sf home includes a master suite on the top level with sundeck boasting views of the North Shore mountains, large living room with cozy gas fireplace & bright kitchen with maple cabinets & granite countertops, plus 2 bedrooms & full bath on the main level.Also 2 full separate accomodations below both with seperate entrances !! This lovely home also comes with heat-recovery ventilation system, low-energy water tank, security system, double garage and the remainder of 2-5-10 warranty !! HURRY ON THIS ONE - A REAL MONEY MAKER !!",2429,656603,37.jpg,,,,
38,99 Bashford Terrace,Vancouver,R3S 6O2,3,3,Duplex,"Gorgeous South facing English Bay views at the prestigious Alexandra Park. This unique 2 story condo has been luxuriously renovated, with careful attention to all the details. Views from every room, 18' vaulted ceilings, deep soaker tub for two with views of English Bay and the Northshore mountains, chefs kitchen with induction oven, gas fireplace, maple walnut hardwood flooring. Watch the beautiful sunsets from your large patio. Concrete building, fully rainscreened and only 25 units in the strata. 1 block from Davie Street restaurants, 1 block to the beach. 2 side by side parking stalls, storage locker, storage shed, bike rack. Please call for appointment.",884,3859716,38.jpg,,,,
